Местное время в Москве (центр, Балчуг);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
31.12.2021 21:00;-3.3;741.6;753.4;;88;Ветер, дующий с юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-3.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-5.0;0.4;12;;;;
31.12.2021 18:00;-3.6;743.8;755.5;;87;Ветер, дующий с юга;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;4.0;-5.5;0.1;12;;;;
31.12.2021 15:00;-3.8;744.9;756.7;;84;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-6.1;;;;;;
31.12.2021 12:00;-4.4;746.3;758.2;;85;Ветер, дующий с юга;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;4.0;-6.6;;;;;;
31.12.2021 9:00;-5.3;747.5;759.4;;87;Ветер, дующий с юго-юго-востока;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.7;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;4.0;-7.2;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
31.12.2021 3:00;-6.0;749.7;761.7;;85;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;4.0;-8.1;;;;;;
31.12.2021 0:00;-6.2;750.7;762.7;;87;Ветер, дующий с юго-юго-востока;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;4.0;-8.0;;;;;;
30.12.2021 21:00;-6.7;751.8;763.9;;85;Ветер, дующий с юго-юго-запада;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-6.7;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;4.0;-8.8;0.1;12;;;;
30.12.2021 18:00;-7.2;752.2;764.2;;86;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;4.0;-9.2;0.1;12;;;;
30.12.2021 15:00;-7.4;752.5;764.6;;84;Ветер, дующий с востоко-юго-востока;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-9.6;;;;;;
30.12.2021 12:00;-8.3;753.4;765.5;;82;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-10.8;;;;;;
30.12.2021 9:00;-10.3;753.4;765.6;;85;Ветер, дующий с юго-востока;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-13.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-12.3;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
30.12.2021 6:00;-11.4;753.7;766.0;;83;Ветер, дующий с юга;1;;;100%.; ;;;-13.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-13.7;Осадков нет;12;;;;
30.12.2021 3:00;-12.3;754.1;766.5;;82;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-14.7;;;;;;
30.12.2021 0:00;-13.6;754.4;766.9;;84;Ветер, дующий с востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;-15.8;;;;;;
29.12.2021 21:00;-13.4;755.1;767.5;;83;Ветер, дующий с востока;1;;;70 – 80%.; ;;;;-10.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;-15.7;Осадков нет;12;;;;
29.12.2021 18:00;-12.9;756.2;768.7;;83;Ветер, дующий с востока;1;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-15.2;Осадков нет;12;;;;
29.12.2021 15:00;-10.7;756.5;768.8;;82;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-13.2;;;;;;
29.12.2021 12:00;-10.5;757.6;769.9;;84;Ветер, дующий с востока;1;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-12.7;;;;;;
29.12.2021 9:00;-11.5;758.1;770.5;;90;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-11.5;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;4.0;-12.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
29.12.2021 6:00;-10.9;758.4;770.8;;91;Ветер, дующий с востока;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-11.0;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;300-600;;;4.0;-12.1;Осадков нет;12;;;;
29.12.2021 3:00;-10.2;758.4;770.8;;90;Ветер, дующий с юго-востока;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-11.5;;;;;;
29.12.2021 0:00;-7.4;758.2;770.5;;88;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-9.1;;;;;;
28.12.2021 21:00;-6.6;757.8;769.9;;85;Штиль, безветрие;0;;;70 – 80%.; ;;;;-5.4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-8.8;Осадков нет;12;;;;
28.12.2021 18:00;-5.5;757.7;769.9;;74;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-9.5;Осадков нет;12;;;;
28.12.2021 15:00;-5.5;757.1;769.3;;64;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;10.0;-11.3;;;;;;
28.12.2021 12:00;-6.1;756.6;768.7;;70;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;10.0;-10.7;;;;;;
28.12.2021 9:00;-7.2;756.0;768.1;;75;Ветер, дующий с запада;1;;;100%.; ;;;-8.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-10.9;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
28.12.2021 6:00;-7.5;755.2;767.4;;75;Ветер, дующий с запада;1;;;40%.; ;;;-8.5;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-11.3;Осадков нет;12;;;;
28.12.2021 3:00;-7.2;754.5;766.6;;71;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-11.7;;;;;;
28.12.2021 0:00;-7.5;753.4;765.5;;81;Ветер, дующий с запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-10.3;;;;;;
27.12.2021 21:00;-7.6;751.9;763.9;;80;Ветер, дующий с запада;2;;;100%.; ;;;;-7.6;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-10.5;Осадков нет;12;;;;
27.12.2021 18:00;-8.4;750.7;762.8;;80;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-11.3;Осадков нет;12;;;;
27.12.2021 15:00;-9.0;749.5;761.6;;74;Ветер, дующий с западо-юго-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-12.9;;;;;;
